Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Cesar Ramos,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,416700
Chad Billingsley,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,6275000
Chad Durbin,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,800000
Chad Gaudin,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,900000
Chad Qualls,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,1500000
Charlie Morton,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,441000
Chase Headley,San Diego Padres,Third Baseman,No,National,National West,No,No,No,2325000
Chase Utley,Philadelphia Phillies,Second Baseman,No,National,National East,No,Yes,No,15285714
Chien-Ming Wang,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,1200000
Chin-Lung Hu,New York Mets,Shortstop,No,National,National East,No,No,No,420000
Chipper Jones,Atlanta Braves,Third Baseman,No,National,National East,No,No,No,14000000
Chone Figgins,Seattle Mariners,Second Baseman,No,American,American West,No,No,No,9500000
Chris B. Young,Arizona Diamondbacks,Outfielder,No,National,National West,No,Yes,No,5200000
Chris Capuano,New York Mets,Pitcher,Yes,National,National East,No,No,No,1500000
Chris Carpenter,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,14259403
Chris Coghlan,Miami Marlins,Outfielder,No,National,National East,No,No,No,490000
Chris D. Johnson,Houston Astros,Third Baseman,No,National,National Central,No,No,No,424000
Chris Denorfia,San Diego Padres,Outfielder,No,National,National West,No,No,No,800000
Chris Getz,Kansas City Royals,Second Baseman,No,American,American Central,No,No,No,443000
Chris Heisey,Cincinnati Reds,Outfielder,No,National,National Central,No,No,No,419000
Chris Iannetta,Colorado Rockies,Catcher,No,National,National West,No,No,No,2550000
Chris Narveson,Milwaukee Brewers,Pitcher,Yes,National,National Central,No,Yes,No,441500
Chris Perez,Cleveland Indians,Pitcher,Yes,American,American Central,No,No,No,2225000
Chris Pettit,Los Angeles Angels,Outfielder,No,American,American West,No,No,No,414000
Chris R. Young,New York Mets,Pitcher,Yes,National,National East,No,No,No,1100000
Chris Ray,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,1000000
Chris Resop,Pittsburgh Pirates,Pitcher,Yes,National,National Central,No,No,No,431500
Chris Sale,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,425000
Chris Snyder,Pittsburgh Pirates,Catcher,No,National,National Central,No,No,No,6250000
Chris Tillman,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,417000
Chris Volstad,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,445000
Clay Buchholz,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,555000
Clay Hensley,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,1400000
Clayton Kershaw,Los Angeles Dodgers,Pitcher,Yes,National,National West,No,No,No,500000
Clayton Richard,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,468800
Cliff Lee,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,11000000
Cliff Pennington,Oakland Athletics,Shortstop,No,American,American West,No,No,No,420000
Clint Barmes,Houston Astros,Second Baseman,No,National,National Central,No,No,No,3925000
Coco Crisp,Oakland Athletics,Outfielder,No,American,American West,No,No,No,5750000
Cody Ross,San Francisco Giants,Outfielder,No,National,National West,No,No,No,6300000
Colby Lewis,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,2000000
Colby Rasmus,St. Louis Cardinals,Outfielder,No,National,National Central,No,Yes,Yes,443000
Cole Hamels,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,9500000
Colin Curtis,New York Yankees,Outfielder,No,American,American East,Yes,Yes,No,420400
Conor Jackson,Oakland Athletics,First Baseman,No,American,American West,No,No,No,3200000
Corey Hart,Milwaukee Brewers,Outfielder,No,National,National Central,No,Yes,No,6833333
Corey Patterson,Toronto Blue Jays,Outfielder,No,American,American East,No,No,No,900000
Cory Luebke,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,415600
Craig Breslow,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,1400000
Craig Counsell,Milwaukee Brewers,Second Baseman,No,National,National Central,No,Yes,No,1400000
Craig Kimbrel,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,419000
